Qf,Time,X,Y,Alpha,Temp(degC)
540,0.5,0,0.24,0.006218056457,25.77892676
540,0.5,0,0.26,0.00621581159,25.77361204
540,0.5,0,0.28,0.006213588912,25.76835746
540,0.5,0,0.3,0.006211388421,25.76316304
540,0.5,0,0.32,0.006209210119,25.75802876
540,0.5,0,0.34,0.006207054004,25.75295463
540,0.5,0,0.36,0.006204920078,25.74794065
540,0.5,0,0.38,0.00620280834,25.74298682
540,0.5,0,0.4,0.006200718789,25.73809314
540,0.5,0,0.42,0.006198651427,25.73325961
540,0.5,0,0.44,0.006196606252,25.72848622
540,0.5,0,0.46,0.006194583266,25.72377298
540,0.5,0,0.48,0.006192582467,25.71911989
540,0.5,0,0.5,0.006190603857,25.71452695
540,0.5,0,0.52,0.006188709528,25.70999416
540,0.5,0,0.54,0.006186804061,25.70552068
540,0.5,0,0.56,0.00618492532,25.70110629
540,0.5,0,0.58,0.006183072258,25.69675097
540,0.5,0,0.6,0.006181244873,25.69245474
540,0.5,0,0.62,0.006179443166,25.6882176
540,0.5,0,0.64,0.006177667137,25.68403953
540,0.5,0,0.66,0.006184249371,25.67992055
540,0.5,0,0.68,0.006174192112,25.67586065
540,0.5,0,0.7,0.006172493116,25.67185983
540,0.5,0,0.72,0.006170819799,25.6679181
540,0.5,0,0.74,0.006169172159,25.66403544
540,0.5,0,0.76,0.006167550196,25.66021187
540,0.5,0,0.78,0.006165953912,25.65644738
540,0.5,0,0.8,0.006164383306,25.65274198
540,0.5,0,0.82,0.006162838377,25.64909566
540,0.5,0,0.84,0.006161319126,25.64550842
540,0.5,0,0.86,0.006159825553,25.64198026
540,0.5,0,0.88,0.006158357658,25.63851119
540,0.5,0,0.9,0.00615691544,25.63510119
540,0.5,0,0.92,0.006155498901,25.63175028
540,0.5,0,0.94,0.006154108039,25.62845846
540,0.5,0,0.96,0.006152742855,25.62522571
540,0.5,0,0.98,0.006151403349,25.62205205
540,0.5,0,1,0.006150089521,25.61893747
540,0.5,0,1.02,0.006148799425,25.61588197
540,0.5,0,1.04,0.006147534434,25.61288442
540,0.5,0,1.06,0.006146295826,25.60994534
540,0.5,0,1.08,0.006145082245,25.60706474
540,0.5,0,1.1,0.006143893692,25.6042426
540,0.5,0,1.12,0.006142730165,25.60147894
540,0.5,0,1.14,0.006141591666,25.59877374
540,0.5,0,1.16,0.006140478195,25.59612702
540,0.5,0,1.18,0.00613938975,25.59353877
540,0.5,0,1.2,0.006138326333,25.59100899
540,0.5,0,1.22,0.006137287943,25.58853768
540,0.5,0,1.24,0.00613627458,25.58612485
540,0.5,0,1.26,0.006135286245,25.58377048
540,0.5,0,1.28,0.006134322936,25.58147459
540,0.5,0,1.3,0.006133384655,25.57923717
540,0.5,0,1.32,0.006132471402,25.57705822
540,0.5,0,1.34,0.006131583175,25.57493774
540,0.5,0,1.36,0.006130719976,25.57287573
540,0.5,0,1.38,0.006129881804,25.57087219
540,0.5,0,1.4,0.006128280541,25.56892713
540,0.5,0,1.42,0.006127517451,25.56704053
540,0.5,0,1.44,0.006126779387,25.56521241
540,0.5,0,1.46,0.006126066352,25.56344276
540,0.5,0,1.48,0.006125378343,25.56173158
540,0.5,0,1.5,0.006124714276,25.56007887
540,0.5,0,1.52,0.006124075045,25.55848463
540,0.5,0,1.54,0.00612346106,25.55694815
540,0.5,0,1.56,0.006122871787,25.55546988
540,0.5,0,1.58,0.006122307228,25.55404982
540,0.5,0,1.6,0.006121767383,25.55268796
540,0.5,0,1.62,0.00612125225,25.5513843
540,0.5,0,1.64,0.006120761831,25.55013885
540,0.5,0,1.66,0.006120296126,25.54895161
540,0.5,0,1.68,0.006119855133,25.54782257
540,0.5,0,1.7,0.006119438854,25.54675174
540,0.5,0,1.72,0.006119047289,25.54573911
540,0.5,0,1.74,0.006118680436,25.54478469
540,0.5,0,1.76,0.006118338297,25.54388848
540,0.5,0,1.78,0.006118020871,25.54227066
540,0.5,0,1.8,0.006117728159,25.54154907
540,0.5,0,1.82,0.006117460159,25.54088567
540,0.5,0,1.84,0.006117216874,25.54028049
540,0.5,0,1.86,0.006116998301,25.53973351
540,0.5,0,1.88,0.006116804442,25.53924473
540,0.5,0,1.9,0.006116635296,25.53881416
540,0.5,0,1.92,0.006116490863,25.5384418
540,0.5,0,1.94,0.006116371144,25.53812764
540,0.5,0,1.96,0.006116276138,25.53787169
540,0.5,0,1.98,0.006116205845,25.53767394
540,0.5,0,2,0.006116159915,25.5375344
540,1,0,0.02,0.01662273987,31.30911627
540,1,0,0.04,0.01661629629,31.30314585
540,1,0,0.06,0.01660991406,31.29723334
540,1,0,0.08,0.0164563462,31.29137873
